State,Year,Rate
Maine,Rate_2019,3.2
Maine,Rate_2020,11.9
Florida,Rate_2019,2.9
Florida,Rate_2020,6.1
Louisiana,Rate_2019,0.2
Louisiana,Rate_2020,6
West Virginia,Rate_2019,4.4
West Virginia,Rate_2020,5.3
Indiana,Rate_2019,4.8
Indiana,Rate_2020,3.6
Utah,Rate_2019,4
Utah,Rate_2020,3.2
Kentucky,Rate_2019,2.9
Kentucky,Rate_2020,3.2
Tennessee,Rate_2019,3
Tennessee,Rate_2020,2.5
Massachusetts,Rate_2019,2.3
Massachusetts,Rate_2020,2.2
Arkansas,Rate_2019,1.9
Arkansas,Rate_2020,2.1
New York,Rate_2019,1.6
New York,Rate_2020,1.8
Ohio,Rate_2019,2.4
Ohio,Rate_2020,1.6
Wisconsin,Rate_2019,1.9
Wisconsin,Rate_2020,1.6
Montana,Rate_2019,1.6
Montana,Rate_2020,1.6
Illinois,Rate_2019,1.2
Illinois,Rate_2020,1.6
Washington,Rate_2019,1.1
Washington,Rate_2020,1.4
New Jersey,Rate_2019,1.1
New Jersey,Rate_2020,1.3
Georgia,Rate_2019,0.6
Georgia,Rate_2020,1.3
Michigan,Rate_2019,1.2
Michigan,Rate_2020,1.2
Pennsylvania,Rate_2019,1.6
Pennsylvania,Rate_2020,1.1
Alabama,Rate_2019,1.8
Alabama,Rate_2020,1
Minnesota,Rate_2019,1.1
Minnesota,Rate_2020,1
South Dakota,Rate_2019,3.2
South Dakota,Rate_2020,0.8
Maryland,Rate_2019,0.5
Maryland,Rate_2020,0.8
North Carolina,Rate_2019,1.4
North Carolina,Rate_2020,0.7
Oregon,Rate_2019,0.5
Oregon,Rate_2020,0.7
Oklahoma,Rate_2019,0.6
Oklahoma,Rate_2020,0.5
Iowa,Rate_2019,0.3
Iowa,Rate_2020,0.5
Nebraska,Rate_2019,0.2
Nebraska,Rate_2020,0.5
New Hampshire,Rate_2019,1.5
New Hampshire,Rate_2020,0.4
Missouri,Rate_2019,0.7
Missouri,Rate_2020,0.4
Nevada,Rate_2019,0.5
Nevada,Rate_2020,0.4
Virginia,Rate_2019,0.8
Virginia,Rate_2020,0.3
Kansas,Rate_2019,0.7
Kansas,Rate_2020,0.3
Connecticut,Rate_2019,0.2
Connecticut,Rate_2020,0.3
Vermont,Rate_2019,1
Vermont,Rate_2020,0.2
Colorado,Rate_2019,0.8
Colorado,Rate_2020,0.2
Idaho,Rate_2019,1
Idaho,Rate_2020,0.1
California,Rate_2019,0.5
California,Rate_2020,0.1
South Carolina,Rate_2019,0.2
South Carolina,Rate_2020,0.1
Texas,Rate_2019,0.2
Texas,Rate_2020,0.1
New Mexico,Rate_2019,0.5
New Mexico,Rate_2020,0.001
US,Rate_2020,1.5
