,,
Sex,Age,COUNT
Male,1,10
Male,2,11
Male,3,21
Male,4,16
Male,5,9
Male,6,8
Male,7,5
Male,8,6
Male,9,4
Male,10,5
Male,11,4
Male,12,3
Male,13,5
Male,14,2
Male,15,7
Male,16,12
Male,17,25
Male,18,47
Male,19,112
Male,20,174
Male,21,336
Male,22,496
Male,23,624
Male,24,800
Male,25,1087
Male,26,1133
Male,27,1399
Male,28,1617
Male,29,1754
Male,30,1800
Male,31,1787
Male,32,1780
Male,33,1686
Male,34,1702
Male,35,1681
Male,36,1620
Male,37,1576
Male,38,1525
Male,39,1498
Male,40,1451
Male,41,1320
Male,42,1245
Male,43,1102
Male,44,1033
Male,45,901
Male,46,893
Male,47,933
Male,48,931
Male,49,930
Male,50,955
Male,51,966
Male,52,1036
Male,53,1032
Male,54,1129
Male,55,1258
Male,56,1337
Male,57,1392
Male,58,1466
Male,59,1507
Male,60,1527
Male,61,1510
Male,62,1446
Male,63,1503
Male,64,1368
Male,65,1447
Male,66,1238
Male,67,1083
Male,68,910
Male,69,759
Male,70,595
Male,71,455
Male,72,380
Male,73,303
Male,74,181
Male,75,179
Male,76,134
Male,77,128
Male,78,107
Male,79,66
Male,80,65
Male,81,37
Male,82,37
Male,83,17
Male,84,30
Male,85,28
Male,86,22
Male,87,16
Male,88,11
Male,89,8
Male,90,5
Male,91,2
Male,92,4
Male,93,2
Male,94,3
Male,95,3
Male,96,3
Male,98,3
Male,99,1
Female,1,12
Female,2,9
Female,3,19
Female,4,12
Female,5,10
Female,6,8
Female,7,3
Female,8,5
Female,9,8
Female,10,3
Female,11,3
Female,12,3
Female,13,6
Female,14,11
Female,15,13
Female,16,18
Female,17,50
Female,18,61
Female,19,149
Female,20,217
Female,21,338
Female,22,416
Female,23,504
Female,24,642
Female,25,737
Female,26,818
Female,27,869
Female,28,995
Female,29,1023
Female,30,1024
Female,31,1048
Female,32,1062
Female,33,979
Female,34,988
Female,35,933
Female,36,878
Female,37,846
Female,38,838
Female,39,843
Female,40,746
Female,41,708
Female,42,601
Female,43,508
Female,44,492
Female,45,511
Female,46,505
Female,47,490
Female,48,510
Female,49,549
Female,50,544
Female,51,526
Female,52,557
Female,53,530
Female,54,606
Female,55,662
Female,56,690
Female,57,721
Female,58,788
Female,59,724
Female,60,685
Female,61,677
Female,62,690
Female,63,637
Female,64,598
Female,65,614
Female,66,545
Female,67,460
Female,68,413
Female,69,338
Female,70,257
Female,71,231
Female,72,185
Female,73,175
Female,74,141
Female,75,104
Female,76,102
Female,77,89
Female,78,99
Female,79,87
Female,80,53
Female,81,37
Female,82,38
Female,83,42
Female,84,37
Female,85,35
Female,86,30
Female,87,18
Female,88,26
Female,89,25
Female,90,11
Female,91,12
Female,92,13
Female,93,12
Female,94,8
Female,95,6
Female,97,2
Female,98,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
