Cd,Dbh1,Dbh2,Time
AGLAO2,2.5,2.5,10.614
AGLAO2,5.2,6.2,10.184
AGLAO2,8.6,8.6,10.225
AGLAO2,5.4,8.2,10.51
AGLAO2,3.4,3.6,10.263
AGLAO2,12.6,13.6,10.222
AGLAO2,2.1,2.4,11.203
AGLAO2,12.5,13.2,10.288
AGLAO2,4,4.6,10.219
AGLAO2,2.5,2.8,10.304
AGLAO2,2,2.2,10.219
AGLAO2,2.5,2.5,10.507
AGLAO2,3,3.6,10.186
AGLAO2,3.3,3.7,10.142
AGLAO2,5.7,6.6,10.266
AGLAO2,2.4,2.4,10.227
AGLAO2,2.9,3.7,10.104
AGLAO2,3.5,4.3,10.118
AGLAO2,7.3,7.8,10.51
AGLAO2,66.4,77.9,10.49
AGLAO2,3,2.9,10.501
AGLAO2,12,12.2,10.236
AGLAO2,18,20.7,10.277
AGLAO2,2.8,2.8,10.11
AGLAO2,4,5,10.337
AGLAO2,4,4.7,10.389
AGLAO2,4.2,4.7,10.205
AGLAO2,15.6,18.6,10.137
AGLAO2,2.7,3.2,10.507
AGLAO2,2.3,2.3,10.227
AGLAO2,8.3,9.1,10.312
AGLAO2,3.1,3,10.093
AGLAO2,3.2,4.4,10.496
AGLAO2,2.9,4.3,10.496
AGLAO2,2.7,3.1,10.238
AGLAO2,4.4,4.7,10.26
AGLAO2,3.5,4,10.247
AGLAO2,5.4,6,10.09
AGLAO2,3.1,3.3,10.312
AGLAO2,7,7.2,10.411
AGLAO2,2.7,3,11.241
AGLAO2,12.7,15.5,10.192
AGLAO2,2.6,2.8,11.047
AGLAO2,5.5,5.6,10.411
AGLAO2,2.5,4.7,10.479
AGLAO2,2.7,3.1,10.195
AGLAO2,11.2,11.6,10.458
AGLAO2,16.4,19.9,10.268
AGLAO2,7.5,7.9,10.195
AGLAO2,4.5,6.7,10.438
AGLAO2,2.6,2.5,10.422
AGLAO2,2.1,2.7,10.233
AGLAO2,6.7,9.2,10.115
AGLAO2,3.2,4,10.312
AGLAO2,2.7,3.1,10.282
AGLAO2,5.2,6.9,10.458
AGLAO2,38.4,45.3,10.142
AGLAO2,3.3,3.6,10.342
AGLAO2,2.5,3.5,10.115
AGLAO2,3.7,5.5,10.386
AGLAO2,4,4.6,10.071
AGLAO2,5.6,7.4,11.063
AGLAO2,4.6,4.8,10.458
AGLAO2,9.3,9.9,10.159
AGLAO2,29.3,33.2,10.271
AGLAO2,2.4,2.8,10.427
AGLAO2,8.5,9.8,10.282
AGLAO2,3,4.6,10.205
AGLAO2,53.5,57,10.463
AGLAO2,2.2,2.7,10.266
AGLAO2,7.8,7.3,10.419
AGLAO2,5.3,6.4,10.397
AGLAO2,3.3,3.8,10.438
AGLAO2,2.7,2.8,10.2
AGLAO2,9.5,11.5,10.652
AGLAO2,5.4,5.3,10.301
AGLAO2,5.2,6.2,10.156
AGLAO2,2,2.8,10.595
AGLAO2,11.9,14.9,11.041
AGLAO2,4.4,4.6,10.088
AGLAO2,2.5,2.8,10.499
AGLAO2,2,4.4,10.112
AGLAO2,3.2,3.1,10.195
AGLAO2,18.5,27.2,10.244
AGLAO2,3.2,3.9,10.26
AGLAO2,2.5,3.1,10.444
AGLAO2,10,10.4,10.474
AGLAO2,8.3,8.5,10.219
AGLAO2,5.5,6,10.268
AGLAO2,5.9,6.1,10.156
AGLAO2,2.3,2.1,10.581
