Cd,Dbh1,Dbh2,Time
MIC1CA,23.8,24.8,10.175
MIC1CA,3.2,3.4,10.093
MIC1CA,2,1.9,11.093
MIC1CA,21.7,22.6,10.329
MIC1CA,3.2,3.9,10.244
MIC1CA,3.9,4,10.337
MIC1CA,3.2,3.6,11.205
MIC1CA,2.6,3.9,10.318
MIC1CA,5.8,8.7,10.337
MIC1CA,2,2.3,11.088
MIC1CA,6,6.7,10.192
MIC1CA,14.7,15.4,10.285
MIC1CA,2.2,2.5,11.088
MIC1CA,4,4.2,10.068
MIC1CA,11.4,14.1,10.063
MIC1CA,5.3,9.5,10.301
MIC1CA,2.4,2.8,10.104
MIC1CA,6.9,7.2,10.214
MIC1CA,2.9,3,10.025
MIC1CA,3.5,3.4,10.479
MIC1CA,4,4.1,10.279
MIC1CA,2.5,2.5,10.181
MIC1CA,3,4.1,11.044
MIC1CA,13.3,15,10.26
MIC1CA,7.1,7.6,10.43
MIC1CA,5.7,5.3,11.197
MIC1CA,2.4,3,10.315
MIC1CA,4.5,6.1,11.088
MIC1CA,11.5,12,10.46
MIC1CA,5.4,5.3,10.395
MIC1CA,3.7,4.8,10.156
MIC1CA,5.9,6.1,10.277
MIC1CA,2.9,3.9,10.115
MIC1CA,3.2,3.8,10.589
MIC1CA,5.2,8.3,10.189
MIC1CA,8.6,10.6,10.416
MIC1CA,3.2,3.9,10.181
MIC1CA,9.1,10.1,10.26
MIC1CA,3.7,4.1,10.26
MIC1CA,6.2,6.6,10.025
MIC1CA,3.9,4.1,10.129
MIC1CA,2.5,2.3,10.178
MIC1CA,2.1,2.5,10.277
MIC1CA,2.9,3,10.504
MIC1CA,3.8,10.7,10.227
MIC1CA,3.5,3.9,10.438
MIC1CA,5.7,6.5,10.186
MIC1CA,3.5,3.5,10.107
MIC1CA,10.3,13.4,10.167
MIC1CA,17.6,19.7,10.427
MIC1CA,2.5,3.1,10.978
MIC1CA,6,7.1,10.227
MIC1CA,22.1,25.6,10.181
MIC1CA,2.3,2.3,11.096
MIC1CA,19.7,20.2,10.107
MIC1CA,12.5,12.6,10.258
MIC1CA,3.5,3.6,10.244
MIC1CA,2.2,2.8,10.603
MIC1CA,2.1,2.5,10.178
MIC1CA,3.2,3.6,10.249
MIC1CA,6.1,6.4,10.348
MIC1CA,5.4,5.9,10.192
MIC1CA,5.5,5.8,10.167
MIC1CA,2.4,3,10.43
