CD,Name,Family,DBH1,DBH2,Time
RYPAKU,Ryparosa_kunstleri,Achariaceae,7.7,8,10.2
BOUEMA,Bouea_macrophylla,Anacardiaceae,2.9,2.9,10.263
BOUEOP,Bouea_oppositifolia,Anacardiaceae,2.4,2.7,10.277
BUCHSE,Buchanania_sessifolia,Anacardiaceae,4.1,4.5,10.425
DRIMLU,Drimycarpus_luridus,Anacardiaceae,2.7,2.8,10.422
GLUTM2,Gluta_malayana,Anacardiaceae,2,2.1,10.153
MANGFO,Mangifera_foetida,Anacardiaceae,2.1,3.3,10.181
MANGG1,Mangifera_gracilipes,Anacardiaceae,2.5,2.6,10.156
MANGG2,Mangifera_griffithii,Anacardiaceae,2,2.4,10.23
MANGM2,Mangifera_magnifica,Anacardiaceae,6.6,6.9,10.227
MANGQU,Mangifera_quadrifida,Anacardiaceae,5.3,5.5,11.088
MEL1AN,Melanochyla_angustifolia,Anacardiaceae,6.6,7.7,10.411
MEL1AU,Melanochyla_auriculata,Anacardiaceae,4.1,4.4,10.195
MEL1FU,Melanochyla_fulvinervis,Anacardiaceae,13.7,15.8,10.395
MEL1S1,Melanochyla_species,Anacardiaceae,2,2.4,10.589
MEL1TO,Melanochyla_tomentosa,Anacardiaceae,22.3,27.8,10.17
PAR4IN,Parishia_insignis,Anacardiaceae,2.9,2.9,10.173
PEN1MO,Pentaspadon_motleyi,Anacardiaceae,2.3,2.5,10.238
ANI2CO,Anisophyllea_corneri,Anisophylleaceae,2.2,2.4,10.441
ALPHEL,Alphonsea_elliptica,Annonaceae,2,2.7,10.46
ALPHMA,Alphonsea_maingayi,Annonaceae,5.7,5.8,10.189
ANAXJA,Anaxagorea_javanica,Annonaceae,4.1,5,10.26
ENICFU,Enicosanthum_fuscum,Annonaceae,2,1.9,10.471
GONITO,Goniothalamus_tortilipetalus,Annonaceae,3.4,3.5,10.249
KINGNE,Dendrokingstonia_nervosa,Annonaceae,3.3,3.4,11.085
MEZZLE,Mezzettia_leptopoda,Annonaceae,21.9,26.8,10.438
MITRMA,Mitrephora_maingayi,Annonaceae,2.3,2.5,10.216
MONOMA,Monocarpia_marginalis,Annonaceae,6.6,7.1,10.192
ONC1MO,Meiogyne_monosperma,Annonaceae,3.2,3.3,10.184
PHAEOP,Phaeanthus_ophthalmicus,Annonaceae,4.3,4.8,10.115
POL1GL,Polyalthia_glauca,Annonaceae,2.4,3.5,10.186
POL1JE,Polyalthia_jenkinsii,Annonaceae,4.7,6.6,10.189
POL1OB,Polyalthia_obliqua,Annonaceae,11.9,12.4,10.159
POL1RU,Polyalthia_rumphii,Annonaceae,3.2,4,10.181
POL1SC,Polyalthia_sclerophylla,Annonaceae,3.4,3.8,10.244
POL1ST,Polyalthia_stenopetala,Annonaceae,3.5,4,10.282
POL1SU,Polyalthia_sumatrana,Annonaceae,6.3,6.5,10.049
POPOPI,Popowia_pisocarpa,Annonaceae,2.4,2.9,11.093
POPOTO,Popowia_tomentosa,Annonaceae,7.5,8.2,10.477
PSE2MA,Pseuduvaria_macrophylla,Annonaceae,13.4,14.7,10.23
XYLOCA,Xylopia_caudata,Annonaceae,3.5,4.7,11.247
XYLOFO,Xylopia_oxyantha,Annonaceae,8.4,9.5,10.296
XYLOM1,Xylopia_magna,Annonaceae,4.9,5.9,10.208
XYLOM2,Xylopia_malayana,Annonaceae,3.2,3.8,10.266
DYERCO,Dyera_costulata,Apocynaceae,8.9,11,10.26
KIBAMA,Kibatalia_maingayi,Apocynaceae,2.2,2.3,11.233
TABECO,Tabernaemontana_corymbosa,Apocynaceae,2.3,3.3,10.427
CANALL,Canarium_littorale_var._littorale,Burseraceae,2.1,2.3,10.268
CANALR,Canarium_littorale_var._rufum,Burseraceae,3,3.4,10.214
CANALT,Canarium_littorale_var._tomentosum,Burseraceae,2.4,2.6,10.315
CANAME,Canarium_megalanthum,Burseraceae,5.7,5.7,10.195
CANAPA,Canarium_patentinervium,Burseraceae,2.9,3,10.271
CANAPI,Canarium_pilosum,Burseraceae,2.3,2.8,10.274
DACRCO,Dacryodes_costata,Burseraceae,2.4,2.5,10.11
DACRLA,Dacryodes_laxa,Burseraceae,3.6,3.7,10.142
DACRLO,Dacryodes_longifolia,Burseraceae,2.3,3,10.266
DACRR1,Dacryodes_rugosa,Burseraceae,6,7.7,10.488
DACRR2,Dacryodes_rubiginosa,Burseraceae,4.5,4.5,10.414
DACRRO,Dacryodes_rostrata,Burseraceae,8.4,21.2,11.184
SANTAP,Santiria_apiculata,Burseraceae,2.8,3,10.238
SANTGR,Santiria_griffithii,Burseraceae,3.1,3.3,10.112
SANTLA,Santiria_laevigata,Burseraceae,2.7,3.4,10.43
SANTRU,Santiria_rubiginosa,Burseraceae,12.8,15.1,10.26
SANTTO,Santiria_tomentosa,Burseraceae,9.9,10.1,10.244
TRIOMA,Triomma_malaccensis,Burseraceae,3,3,10.06
GIRONE,Gironniera_nervosa,Cannabaceae,5.4,6.1,10.071
GIROPA,Gironniera_parvifolia,Cannabaceae,2.2,2,10.521
GIROSU,Gironniera_subaequalis,Cannabaceae,2.5,3.5,10.449
BHESPA,Bhesa_paniculata,Celastraceae,2.4,2.6,10.09
KOKORE,Kokoona_reflexa,Celastraceae,3.1,3.4,10.203
ATUNEL,Atuna_racemosa,Chrysobalanaceae,4.6,4.8,11.049
ATUNEX,Atuna_excelsa,Chrysobalanaceae,2,2.5,10.263
LICASP,Licania_splendens,Chrysobalanaceae,13.8,14.8,10.222
CALODI,Calophyllum_dioscurii,Clusiaceae,2.6,3.4,10.501
CALOMA,Calophyllum_macrocarpum,Clusiaceae,13.8,14.6,10.315
CALOTE,Calophyllum_tetrapterum,Clusiaceae,10.5,11.3,10.422
CALOWA,Calophyllum_wallichianum,Clusiaceae,2.6,2.8,10.164
GARCEU,Garcinia_opaca,Clusiaceae,3.1,-0.1,10.584
GARCMA,Garcinia_malaccensis,Clusiaceae,18.3,-0.1,10.312
GARCNE,Garcinia_nervosa,Clusiaceae,2,-0.1,11.2
GARCNI,Garcinia_nigrolineata,Clusiaceae,4.3,-0.1,10.277
GARCPA,Garcinia_parvifolia,Clusiaceae,2.5,-0.1,10.156
GARCSC,Garcinia_scortechinii,Clusiaceae,7.7,-0.1,10.227
MESUCO,Kayea_corneri,Clusiaceae,3.8,-0.1,10.271
MESUFE,Mesua_ferrea,Clusiaceae,4.5,-0.1,10.485
MESUGR,Kayea_grandis,Clusiaceae,27.4,-0.1,10.282
MESUKU,Kayea_kunstleri,Clusiaceae,2.1,-0.1,10.266
MESURA,Kayea_racemosa,Clusiaceae,2.4,-0.1,10.181
ALANEB,Alangium_ebenaceum,Cornaceae,4.5,-0.1,10.296
ALANRI,Alangium_ridleyi,Cornaceae,3.2,-0.1,10.263
CTENPA,Ctenolophon_parvifolius,Ctenolophonaceae,2.1,-0.1,10.504
DILLSU,Dillenia_sumatrana,Dilleniaceae,11,-0.1,10.29
ANI1LA,Anisoptera_laevis,Dipterocarpaceae,11.6,-0.1,10.268
DIPTC1,Dipterocarpus_cornutus,Dipterocarpaceae,2.2,-0.1,10.222
DIPTC2,Dipterocarpus_costulatus,Dipterocarpaceae,3.8,-0.1,10.416
DIPTCR,Dipterocarpus_crinitus,Dipterocarpaceae,4.3,-0.1,10.156
HOPEDR,Hopea_dryobalanoides,Dipterocarpaceae,3.8,-0.1,10.474
HOPEME,Hopea_mengarawan,Dipterocarpaceae,5.332989691,4.67628866,10.35056701
NEOBHE,Neobalanocarpus_heimii,Dipterocarpaceae,2,2.3,10.112
PAR2DE,Parashorea_densiflora,Dipterocarpaceae,6.8,7.9,10.115
SHORAC,Shorea_acuminata,Dipterocarpaceae,2.5,2.6,10.458
SHORBR,Shorea_bracteolata,Dipterocarpaceae,2.6,2.8,10.458
SHORGU,Shorea_guiso,Dipterocarpaceae,4.2,4.5,11.203
SHORL1,Shorea_leprosula,Dipterocarpaceae,5.1,5.2,11.236
SHORL2,Shorea_lepidota,Dipterocarpaceae,2.2,2.3,10.186
SHORM1,Shorea_macroptera,Dipterocarpaceae,3.5,4.4,10.422
SHORM2,Shorea_maxwelliana,Dipterocarpaceae,6.5,6.2,10.46
SHOROC,Shorea_ochrophloia,Dipterocarpaceae,2.6,3.5,10.258
SHOROV,Shorea_ovalis,Dipterocarpaceae,2,3,10.227
SHORP1,Shorea_parvifolia,Dipterocarpaceae,17.9,18,10.159
SHORP2,Shorea_pauciflora,Dipterocarpaceae,4,4,10.282
VATIBE,Vatica_bella,Dipterocarpaceae,5.7,6.8,10.279
VATIPA,Vatica_pauciflora,Dipterocarpaceae,4.3,5.1,10.162
DIOSA1,Diospyros_areolata,Ebenaceae,8.2,9.8,10.164
DIOSA2,Diospyros_argentea,Ebenaceae,2.3,2.6,10.263
DIOSAN,Diospyros_andamanica,Ebenaceae,2.7,2.7,10.249
DIOSAP,Diospyros_apiculata,Ebenaceae,3.4,3.8,11.184
DIOSBU,Diospyros_buxifolia,Ebenaceae,2.2,3.4,10.255
DIOSCA,Diospyros_cauliflora,Ebenaceae,2.7,2.9,10.096
DIOSL1,Diospyros_latisepala,Ebenaceae,2.6,2.5,10.266
DIOSNU,Diospyros_nutans,Ebenaceae,3,3.5,10.285
DIOSP2,Diospyros_pendula,Ebenaceae,16.4,18.2,10.515
DIOSS1,Diospyros_species,Ebenaceae,15.1,15,10.077
DIOSSC,Diospyros_scortechinii,Ebenaceae,2.6,3.2,10.395
DIOSSI,Diospyros_singaporensis,Ebenaceae,2.1,2.6,10.052
DIOSSU,Diospyros_sumatrana,Ebenaceae,4.6,4.8,11.2
DIOSVE,Diospyros_venosa,Ebenaceae,3.5,5.2,10.233
ELAENI,Elaeocarpus_nitidus,Elaeocarpaceae,4.1,4.3,10.192
ELAEP3,Elaeocarpus_palembanicus,Elaeocarpaceae,2,2,10.575
BLUMCA,Blumeodendron_calophyllum,Euphorbiaceae,34.1,35.5,10.258
BLUMSU,Blumeodendron_subrotundifolium,Euphorbiaceae,5.1,5.3,10.214
BLUMTO,Blumeodendron_tokbrai,Euphorbiaceae,5.3,5.3,10.09
CROTAR,Croton_argyratus,Euphorbiaceae,2.3,2.6,10.334
CROTLA,Croton_laevifolius,Euphorbiaceae,2.1,4.5,10.449
ELATTA,Elateriospermum_tapos,Euphorbiaceae,6.3,6.6,10.132
EPIPMA,Epiprinus_malayanus,Euphorbiaceae,2.1,2.6,10.186
KOILLO,Koilodepas_longifolium,Euphorbiaceae,2.5,3.3,10.285
MACAHY,Macaranga_hypoleuca,Euphorbiaceae,15.7,19.5,10.422
MACALO,Macaranga_lowii,Euphorbiaceae,2.7,2.9,10.071
MALLLE,Mallotus_leucodermis,Euphorbiaceae,31.2,34.9,10.134
