State,Rate
ME,3.2
ME,11.9
FL,2.9
FL,6.1
LA,0.2
LA,6
WV,4.4
WV,5.3
IN,4.8
IN,3.6
UT,4
UT,3.2
KY,2.9
KY,3.2
TN,3
TN,2.5
MA,2.3
MA,2.2
AK,1.9
AK,2.1
NY,1.6
NY,1.8
OH,2.4
OH,1.6
WI,1.9
WI,1.6
MT,1.6
MT,1.6
IL,1.2
IL,1.6
WA,1.1
WA,1.4
NJ,1.1
NJ,1.3
GA,0.6
GA,1.3
MI,1.2
MI,1.2
PA,1.6
PA,1.1
AL,1.8
AL,1
MN,1.1
MN,1
SD,3.2
SD,0.8
MD,0.5
MD,0.8
NC,1.4
NC,0.7
OR,0.5
OR,0.7
OK,0.6
OK,0.5
IA,0.3
IA,0.5
NE,0.2
NE,0.5
NH,1.5
NH,0.4
MO,0.7
MO,0.4
NV,0.5
NV,0.4
Va,0.8
Va,0.3
ks,0.7
Ks,0.3
CT,0.2
CT,0.3
VT,1
VT,0.2
CO,0.8
CO,0.2
ID,1
ID,0.1
CA,0.5
CA,0.1
SC,0.2
SC,0.1
Tx,0.2
Tx,0.1
NM,0.5
NM,0.001
