State or Jurisdiction,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
,No.,Rate*,No.,Rate*,No.,Rate*,No.,Rate*,No.,Rate*
Alabama,59,1.2,82,1.7,48,1.0,75,1.5,61,1.2
Alaska,6,0.8,9,1.2,7,0.9,6,0.8,4,0.5
Arizona,14,0.2,26,0.4,23,0.3,28,0.4,18,0.2
Arkansas,49,1.6,46,1.5,47,1.6,39,1.3,36,1.2
California,115,0.3,126,0.3,105,0.3,111,0.3,53,0.1
Colorado,28,0.5,32,0.6,21,0.4,17,0.3,13,0.2
Connecticut,7,0.2,10,0.3,10,0.3,3,0.1,—,—
Delaware,3,0.3,9,0.9,7,0.7,12,1.2,7,0.7
District of Columbia,U,U,U,U,U,U,U,U,U,U
Florida,558,2.7,588,2.8,617,2.9,595,2.8,456,2.1
Georgia,100,1.0,106,1.0,179,1.7,114,1.1,104,1.0
Hawaii,—,—,—,—,3,0.2,1,0.1,—,—
Idaho,6,0.4,6,0.3,6,0.3,7,0.4,—,—
Illinois,37,0.3,27,0.2,25,0.2,43,0.3,29,0.2
Indiana,146,2.2,170,2.5,169,2.5,170,2.5,98,1.5
Iowa,10,0.3,12,0.4,14,0.4,24,0.8,17,0.5
Kansas,21,0.7,24,0.8,16,0.5,11,0.4,2,0.1
Kentucky,222,5.0,236,5.3,260,5.8,188,4.2,112,2.5
Louisiana,48,1.0,73,1.6,57,1.2,73,1.6,38,0.8
Maine,53,4.0,77,5.8,52,3.9,58,4.3,40,3.0
Maryland,27,0.4,34,0.6,53,0.9,41,0.7,37,0.6
Massachusetts,31,0.5,51,0.7,46,0.7,37,0.5,17,0.2
Michigan,45,0.5,61,0.6,77,0.8,64,0.6,43,0.4
Minnesota,21,0.4,23,0.4,16,0.3,16,0.3,7,0.1
Mississippi,31,1.0,44,1.5,40,1.3,49,1.6,35,1.2
Missouri,40,0.7,31,0.5,18,0.3,33,0.5,16,0.3
Montana,1,0.1,3,0.3,1,0.1,1,0.1,5,0.5
Nebraska,8,0.4,10,0.5,3,0.2,—,—,1,0.1
Nevada,22,0.7,30,1.0,23,0.8,23,0.7,14,0.4
New Hampshire,—,—,—,—,4,0.3,5,0.4,—,—
New Jersey,59,0.7,57,0.6,64,0.7,78,0.9,44,0.5
New Mexico,1,0.0,1,0.0,2,0.1,4,0.2,—,—
New York,103,0.5,81,0.4,56,0.3,85,0.4,45,0.2
North Carolina,170,1.7,190,1.8,220,2.1,187,1.8,135,1.3
North Dakota,2,0.3,—,—,2,0.3,—,—,4,0.5
Ohio,299,2.6,285,2.4,310,2.7,311,2.7,131,1.1
Oklahoma,32,0.8,41,1.0,6,0.2,17,0.4,31,0.8
Oregon,20,0.5,23,0.6,18,0.4,17,0.4,17,0.4
Pennsylvania,43,0.3,69,0.5,61,0.5,91,0.7,50,0.4
Rhode Island,U,U,U,U,U,U,U,U,U,U
South Carolina,34,0.7,40,0.8,45,0.9,42,0.8,66,1.3
South Dakota,2,0.2,2,0.2,1,0.1,5,0.6,1,0.1
Tennessee,204,3.1,215,3.2,192,2.8,208,3.0,156,2.3
Texas,156,0.6,106,0.4,102,0.4,69,0.2,50,0.2
Utah,5,0.2,18,0.6,36,1.1,29,0.9,11,0.3
Vermont,2,0.3,1,0.2,3,0.5,9,1.4,3,0.5
Virginia,56,0.7,61,0.7,58,0.7,57,0.7,41,0.5
Washington,45,0.6,45,0.6,51,0.7,52,0.7,38,0.5
West Virginia,268,14.6,212,11.7,132,7.3,76,4.2,57,3.2
Wisconsin,9,0.2,14,0.2,14,0.2,8,0.1,13,0.2
Wyoming,U,U,2,0.3,2,0.3,3,0.5,1,0.2
Total,"3,218",1.0,"3,409",1.1,"3,322",1.0,"3,192",1.0,"2,157",0.7
,,,,,,,,,,
